file,leaf_px_before,leaf_px_after,delta_px,change_pct_vs_before(%),roi_px,coverage_before(leaf/roi),coverage_after(leaf/roi),coverage_change_pct(%)
2,1031845,839598,-192247,-18.63,2091288,0.493402,0.401474,-18.63
4,907810,542609,-365201,-40.23,1978818,0.458764,0.274209,-40.23
초,1680651,1005606,-675045,-40.17,1969117,0.853505,0.510689,-40.17
팔,1222830,580898,-641932,-52.5,2059144,0.593854,0.282107,-52.5
