trait,R2,n,RMSE_med
L,0.357,241.0,4.062
a,0.157,241.0,5.465
b,0.494,241.0,1.927
경도,0.304,241.0,5.29
과중,0.214,241.0,50.508
당도,0.489,241.0,1.025
산도,0.576,241.0,0.04
종경,0.283,241.0,6.973
횡경,0.155,241.0,5.56
