year,품종,과중,종경,횡경,L,a,b,경도,당도,산도,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,tmean,tmax,tmin,prcp,rad,humid
2019,,270.35125,74.6275,87.56875,48.747125000000004,15.831375,16.12025,56.637499999999996,13.2275,0.26635000000000003,12.214881592421916,13.175947260624682,32.90802167814725,938.6272670631048,31.448387096774194,-8.59032258064516,40.03870967741936,20.06498207885305,1.4915412186379928,23.6521146953405,-0.3640937019969278,1002.0,175.5,5.0,74.40506301190824,487.0,45.5,401.5,52.5,12.27890410958904,19.398904109589044,6.222739726027398,1002.0,14.282465753424658,72.87671232876713
2020,,229.9,70.2875,82.535,50.789125,12.419,17.475875,59.51266666666667,14.830000000000002,0.32615625000000004,12.164228463725124,12.79240606847114,31.92694534358812,915.2786071773462,31.98709677419355,-8.080645161290322,40.06774193548387,24.061290322580646,5.440107526881721,24.061290322580646,0.3751575824990731,1477.5,448.5,1.0,116.2676217903544,1026.0,52.5,1026.0,115.0,12.191803278688525,19.066120218579236,6.284426229508196,1477.5,14.294808743169398,72.88005464480874
2021,,275.69375,77.44125,85.255,50.21125,16.128875,17.760875000000002,57.673125000000006,13.95625,0.27199375,12.253575268817205,12.872061571940606,30.725641697130506,935.2089469452628,32.22258064516129,-9.670967741935485,41.89354838709677,23.464408602150534,-0.3661290322580646,23.977741935483877,-0.3661290322580646,1152.5,227.5,0.5,78.9961890850496,627.0,24.5,518.5,24.5,12.308219178082192,19.378630136986303,6.524931506849315,1152.5,14.20082191780822,74.52027397260274
2022,,252.0,73.47,85.05,48.502625,18.559375,16.127000000000002,57.314791666666665,14.16625,0.3238375,11.999345238095238,13.679468125960064,33.306904798494884,1025.7271272034593,31.51290322580645,-9.558064516129033,41.07096774193548,24.62673835125448,-2.451766513056836,24.62673835125448,-2.451766513056836,718.5,202.5,0.0,101.71286249578776,458.5,3.0,458.5,3.0,12.095867768595042,19.386225895316805,5.735537190082645,718.5,15.220661157024795,70.06473829201101
2023,,288.01875,76.53875000000001,89.2325,52.166125,14.731,17.873124999999998,61.16770833333334,13.815000000000001,0.25073124999999996,12.753599722796054,13.232730635450324,31.576833938047205,982.818398075214,32.36451612903225,-9.541935483870969,41.906451612903226,24.702780867630697,2.217281105990783,24.87856630824373,-0.5268049155145931,1739.5,485.5,2.5,110.26865400299954,1153.5,61.0,1136.0,120.5,12.793406593406594,19.960164835164836,6.728021978021978,1739.5,14.6739010989011,73.54945054945055
2024,,296.61875,82.92262500000001,87.986,57.261375,11.511,20.650375,65.778125,14.76875,0.274225,13.715426708688666,12.244178717093066,30.10784010633392,988.2603549380289,34.50967741935484,-6.158064516129032,40.66774193548387,26.23164874551972,2.479641577060932,26.23164874551972,0.7877641824249165,1068.5,358.0,1.0,101.83319207320616,575.0,56.5,575.0,91.5,13.724383561643835,20.333424657534245,8.096986301369864,1068.5,14.486301369863014,75.44383561643835
