year,tmean,tmax,tmin,prcp,rad,humid
2019,12.27890410958904,19.398904109589044,6.222739726027398,1002.0,14.282465753424658,72.87671232876713
2020,12.191803278688525,19.066120218579236,6.284426229508196,1477.5,14.294808743169398,72.88005464480874
2021,12.308219178082192,19.378630136986303,6.524931506849315,1152.5,14.20082191780822,74.52027397260274
2022,12.095867768595042,19.386225895316805,5.735537190082645,718.5,15.220661157024795,70.06473829201101
2023,12.793406593406594,19.960164835164836,6.728021978021978,1739.5,14.6739010989011,73.54945054945055
2024,13.724383561643835,20.333424657534245,8.096986301369864,1068.5,14.486301369863014,75.44383561643835
