variable,VIF
BIO1,inf
BIO2,inf
BIO3,inf
BIO5,inf
BIO6,inf
BIO8,inf
BIO9,inf
BIO10,inf
BIO11,inf
BIO13,inf
BIO14,inf
BIO15,inf
BIO17,inf
BIO19,inf
tmean,inf
tmax,inf
tmin,inf
humid,inf
