trait,R2_in,n,RMSE_med,unit
L,0.443,1343.0,4.7165,
a,0.402,1322.0,6.246499999999999,
b,0.51,1343.0,2.261,
경도,0.399,1343.0,6.1465,N
과중,0.332,1322.0,64.84549999999999,g
당도,0.314,1322.0,1.2389999999999999,°Brix
산도,0.624,1322.0,0.041999999999999996,%
종경,0.425,1322.0,7.051,mm
횡경,0.272,1322.0,7.042,mm
