trait,R2_in,n,RMSE_med,unit
L,0.315,1322.0,5.55,
a,0.402,1322.0,7.345,
b,0.288,1322.0,2.519,
경도,0.156,1322.0,7.208,N
과중,0.332,1322.0,64.701,g
당도,0.314,1322.0,1.092,°Brix
산도,0.624,1322.0,0.036,%
종경,0.425,1322.0,7.393,mm
횡경,0.272,1322.0,7.104,mm
