trait,R2_in,n,RMSE_med,unit
L,0.443,1343.0,3.883,
a,0.187,1343.0,5.148,
b,0.51,1343.0,2.003,
경도,0.399,1343.0,5.085,N
과중,0.117,1343.0,64.99,g
당도,0.202,1343.0,1.386,°Brix
산도,0.282,1343.0,0.048,%
종경,0.208,1343.0,6.709,mm
횡경,0.072,1343.0,6.98,mm
