trait,R2,n,RMSE_med
L,0.436,241.0,5.318
a,0.361,241.0,7.567
b,0.369,241.0,2.468
경도,0.479,241.0,4.245
과중,0.201,241.0,52.314
당도,0.246,241.0,0.911
산도,0.323,241.0,0.027
종경,0.271,241.0,6.291
횡경,0.187,241.0,5.909
