pair_id,up_file,side_file,top_major_mm,top_minor_mm,top_aspect,top_circularity,top_px_per_mm_est,top_sym_score_lr,top_sym_score_ud,top_lr_width_mean_pct,top_lr_width_max_pct,top_lr_width_p95_pct,top_ud_width_mean_pct,top_ud_width_max_pct,top_ud_width_p95_pct,top_area_diff_lr_percent,top_area_diff_ud_percent,side_major_mm,side_minor_mm,side_shape_index(aspect),side_circularity,side_px_per_mm_est,side_sym_score_lr,side_sym_score_ud,side_lr_width_mean_pct,side_lr_width_max_pct,side_lr_width_p95_pct,side_ud_width_mean_pct,side_ud_width_max_pct,side_ud_width_p95_pct,side_area_diff_lr_percent,side_area_diff_ud_percent,LD_ratio,최종_판정,side_lr_symmetry_percent
1,1.jpg,1.jpg,267.50207078180676,241.04024583968652,0.9010780557145506,0.7030995437498067,4.0,0.8215574981535303,0.7858184400421089,65.35106363278999,1336.8420349030507,125.162600899306,7282968.955119194,7800000000.0,102.23991952547533,50.77420732839727,33.380598109494606,250.06019808055055,200.180078828533,0.8005275544253151,0.7917276061081439,4.0,0.7786406675098578,0.7647391470498484,89.04583246539039,18199.987866674757,82.47331492867865,39.29426180855805,1399.9998923077007,128.63070432671614,26.96324510547899,23.627045833376084,0.9347972423156192,정형과,10.95416753460961
2,2.jpg,2.jpg,168.17535350782444,159.56359809507185,0.9487929994905471,0.7581533612721669,6.0,0.6367748294993325,0.40432430606218206,16.32355896514424,1899.9990500004749,42.81202977421561,8.974687306666825,1533.3330777778203,23.32725890337195,10.042060270894233,1.62018019591292,138.47672626489435,118.01632480685787,0.8522466409344668,0.8263197256611452,7.0,0.525798515947329,0.854124192112586,12.09126089556506,599.9996000002667,27.283746277124227,98.83897014730005,2784.6151704142176,254.70022159827735,7.805962198391746,69.13323817315276,0.8234067797482088,비정형,87.90873910443494
3,3.jpg,3.jpg,255.66332662286118,241.623073143606,0.9450830368801135,0.756663949552581,4.0,0.8019758865700042,0.712187299290497,61.60814359051617,7999.996000002,130.74852733051517,19.102995803946133,799.99980000005,53.791767005103885,40.95218838576344,12.218810090167445,153.54766753996836,135.4000621665559,0.8818112598897755,0.8386324652814834,6.0,0.7382508933617382,0.8442694571952032,20.014902475323872,1956.5215689981244,57.387864638163244,93.99564364603845,7971.426293878201,221.01783520832478,6.716842662072985,63.31349060183301,0.6005854244651695,비정형,79.98509752467612
4,4.jpg,4.jpg,163.9131936917312,162.34996765142054,0.9904630859474887,0.7484764216273385,6.0,0.8356064487095414,0.8200947790101143,115.39491762296848,29199.9708000292,189.7027346028191,13604178.771745896,13400000000.0,145.77520192676377,58.40152100816805,50.04240654802648,94.24762490255871,87.80156965852026,0.9316051173628733,0.7059648646806768,10.0,0.788661112399502,0.7831099912617248,7736110.789143585,6800000000.0,147.01561745669542,3178004.518531357,3000000000.0,83.62812931185151,32.24730840420336,30.103311834604735,0.5749849830868932,비정형,0.0
5,20250807_120749.jpg,5.jpg,134.22363165146072,135.61887031106232,1.0103948808599117,0.7132649091349178,8.0,0.7600281592673817,0.7527607139407131,46.240994915671486,24199.9516000968,38.202034169822774,27907133.527898718,30000000000.0,40.21238912110535,22.19491984217659,19.2736633925482,135.56948886816488,103.97291431665661,0.7669344716477136,0.8290397107689369,8.0,0.7835482583027265,0.8332359811855017,49.80375129628062,6999.997200001119,48.28573173616899,78.85549157717247,4384.614710059275,180.91750374151215,30.27416174096836,57.08922531050481,0.9996358807385419,정형과,50.19624870371938
6,20250807_120946.jpg,6.jpg,165.01987846983607,149.0989772035788,0.9035213126207251,0.7443635470039226,6.0,0.7828646505510579,0.7207511805100937,52.83301976310902,9199.9908000092,74.80735804667692,21.18515153263392,4199.99790000105,54.9492885850384,32.04696753043258,7.140853079409572,111.39839552946307,91.99020444575244,0.8257767448851857,0.8418292229247628,8.0,0.7565780376516715,0.8052176728213827,24.950577484667114,1399.9993000003499,39.63217600370669,59.75337017221831,3181.81760330589,139.08465656974312,20.559694507125464,42.530893704418155,0.6750604627903998,비정형,75.04942251533288
7,20250807_121130.jpg,7.jpg,136.88222617903412,126.76058219287597,0.9260558198920609,0.8522765902344039,6.0,0.36596482453939566,0.7989072899043199,6.227725719414876,289.9999855000007,27.272727095631645,52.082950837536416,1399.9998666666795,119.89040984464516,1.8687287678789029,39.476642908743635,132.17216596211793,105.95662665948147,0.8016561269779741,0.8012200088496381,6.0,0.8166131079826184,0.5928724879732332,99.43909399771903,10933.329688890102,227.90184066999223,14.122027116470562,215.38459881656934,24.221453203385977,48.248353402543295,12.971519653789596,0.9655904177745056,정형과,0.5609060022809729
8,20250807_121327.jpg,8.jpg,185.05595528047556,170.8263500061357,0.9231064720247825,0.7145567396998471,6.0,0.7607747471402737,0.7296532084635425,27.60301569832533,879.9999120000087,54.42183070215266,22.55868858028706,6199.9938000062,20.297349553340307,22.541506287871005,10.04637818862144,173.29525473675267,144.12751646040283,0.8316876112928907,0.8192445705856901,6.0,0.7278622703180166,0.7362150449889564,34.061707239310316,5399.99730000135,55.82580537955288,54.00790166214252,32599.9348001304,81.84615334248521,7.286984269185846,11.444300455800153,0.9364478677495244,정형과,65.93829276068968
9,20250807_121453.jpg,9.jpg,101.34453565719345,93.92852112233432,0.9268237356186185,0.6867885010576454,10.0,0.7828298725699518,0.7543117698082895,59.42993297494081,14999.985000015002,81.67202519825064,3550323.7165542305,3600000000.0,50.91291589667905,32.03196324610372,18.193190280272475,158.42820817754264,131.84541551224083,0.8322092197400112,0.846441724891158,6.0,0.7000696258180554,0.8316259924022757,18.70429291809249,1156.521638563336,75.45814445744026,20168143.338400804,19200000000.0,169.49696830473093,10.652623022959824,56.20550682407218,1.5632634473104656,정형과,81.29570708190751
10,20250807_121629.jpg,10.jpg,104.07558641135125,103.95008957585965,0.998794176042443,0.8777827155032167,8.0,0.763168460981781,0.7964930973360016,30.420743117590487,957.894636011091,65.8145272008225,45.54032867455762,1472.7270049587264,82.85928593557054,23.533081709520413,38.328410921229874,106.72788791779652,101.82353396558668,0.9540480557810039,0.6384762442076544,8.0,0.8140243048101665,0.7819101582345596,31372623.94915705,25600000000.0,195.73443255955846,40.03870056682046,5533.329644446904,81.79294572995074,46.84289533705764,30.792029538333704,1.0254843772483033,정형과,0.0
11,20250807_121732.jpg,11.jpg,158.1047409184048,152.56152107652025,0.9649395722754114,0.7998941395622677,6.0,0.773513554800547,0.7865459598585565,33.590658781882446,515.7894193905875,80.74709922840549,62.90743096471072,8199.997266667577,98.50793577306625,27.926095902353886,33.695670117844664,116.0838937334513,107.33283573179384,0.9246143653507056,0.6648719726324821,8.0,0.725619774778989,0.5464575728372553,64.62108444819201,6288.887491358335,245.6818069576449,12.67975647601226,221.62160964207516,31.999999924705886,0.5728385085977258,0.8744084035521962,0.7342214601481195,비정형,35.37891555180799
12,20250807_121913.jpg,12.jpg,108.60090828804717,106.04550342067705,0.9764697652381296,0.8684761575433172,8.0,0.5401057960385622,0.8308748477529193,12.679450723123347,666.6665925926009,32.75542578373116,85.42138770272878,9639.996144001541,175.75551617260808,8.014664626787289,55.795280694284365,142.49733774967754,118.57561228048662,0.8321251060057432,0.8288651065073198,6.0,0.7469288632167819,0.8854153822892978,53.34479196782533,10899.994550002724,139.6313352900771,122.63921389882468,5285.713530612353,269.3077589272823,16.967755918778636,89.44633947679093,1.312119207803726,정형과,46.65520803217467
13,20250807_122033.jpg,13.jpg,172.01391259951356,166.75117968692075,0.9694051903531453,0.7050464784485034,6.0,0.8001010532372974,0.7591971018276895,13972109.349915586,14000000000.0,108.68640089005139,98.31793035051331,59799.88040023919,63.92861743923235,40.048007876031974,21.122450533057123,173.04628260268996,162.00331694489032,0.9361849009888642,0.6840466197109076,6.0,0.7603455575983209,0.7603663289171783,7399848.719502658,7200000000.0,100.37630427667561,31.626457939470743,1171.4284598639563,70.13717597606241,7.03775921510733,6.832874616491785,1.0060016657232835,정형과,0.0
14,20250807_122214.jpg,14.jpg,148.4992481625186,145.09496251238733,0.9770754014430726,0.8717686078705916,6.0,0.25106082629757026,0.7591909282111382,2.717087516326675,94.11764152249167,7.025220139516067,42.71430415914095,14599.970800058398,50.855562393260065,1.471947194714614,21.88844884481225,110.46617599440285,93.85371066524684,0.849614914433195,0.8555259808969626,8.0,0.5723883295479306,0.9030648369636081,13.914205222002723,399.9999714285735,48.343581488788395,40904085.86877796,36200000000.0,287.90155321309635,3.691129566321997,102.31561479457743,0.7438837392193925,비정형,86.08579477799728
15,20250807_122337.jpg,15.jpg,146.31589816797043,141.54930673059332,0.9674226007080579,0.858817115619808,6.0,0.7581480842528876,0.7499614723309243,32.44961690293191,3488.888113580419,68.26503585356765,8646209.539595239,7600000000.0,40.63850786452086,21.462721663231676,18.162367557685297,144.7494025343643,123.68949495011357,0.854507809942421,0.8206368668518006,6.0,0.7923490019324135,0.7926185381243298,49.3464787855633,2333.332944444509,50.81397596424061,50.349909486053456,1022.2221654321017,136.69884950887,33.20167127090725,36.50844387605307,0.9892937428316382,정형과,50.6535212144367
16,20250807_122440.jpg,16.jpg,53.875189539900134,46.561286540763,0.8642435773943693,0.730447669492509,16.0,0.5894439838873873,0.4944401068414911,14.647257410239378,1299.9997833333694,27.36201947721294,10.993507089740323,472.34040543232317,35.1034367988951,3.1950654869375135,1.0013319379657766,111.91136428904656,98.20024858899762,0.8774823648415577,0.8478936763856286,7.0,0.8516952662727377,0.9032117103702919,96.63374079167528,2371.4282326531093,224.78074649412906,139.23066599988186,3631.5785650969938,293.98624895884075,67.67308796418622,102.42828010798853,2.0772337924892987,정형과,3.3662592083247205
17,20250807_122553.jpg,17.jpg,142.82491929106337,130.13549350147292,0.9111539789234494,0.7285351571913665,6.0,0.7902409759031088,0.5849392346975799,55.35953486414705,4119.998352000659,150.3875957334295,14.70396846439989,5266.663155557897,17.150700479033226,35.405347089953494,3.45697416683291,100.01680222301657,83.31949848950312,0.8330550131338738,0.8446127574837256,8.0,0.7179785769306761,0.8677443507382683,4790427.883418799,3200000000.0,44.05547285606233,56109824.68220271,31400000000.0,229.40375274832593,0.20881949623398938,77.6115668675747,0.7002755731945628,비정형,0.0
18,20250807_122708.jpg,18.jpg,202.03769488703978,199.98053277391608,0.9898179292024003,0.8683190296031899,4.0,0.533274643076683,0.8262943859425433,12.504032008371931,479.9999760000012,47.83116496421232,66.21033513376538,2219.9997780000226,127.24186922685767,7.137203322055717,53.321886924499694,81.97608575249822,71.52161650224353,0.8724692798602417,0.7134583160437334,10.0,0.7449907961841398,0.7731931267732413,838028.5339297196,600000000.0,191.9999923200003,29.117902398447026,771.4283510204712,40.80944336995129,16.21263066393919,27.739884260720782,0.4057464910116473,비정형,0.0
19,20250807_122810.jpg,19.jpg,135.58706019504933,131.069652419594,0.9666826040113503,0.7270348139099514,6.0,0.7569869679299595,0.7366153110843796,28.24884836452727,823.5293633218021,68.44922254715583,25.75096177012534,3533.3328622222853,34.999999781250004,20.989171369064277,12.783590428759764,131.55745792610918,109.45867160754487,0.8320217898176753,0.8137264620295958,6.0,0.7199805772307724,0.5736053432365731,52.64816464739279,9799.9804000392,246.14985978171737,13.64468180655195,505.8822934256126,26.11570239300594,0.5601963656490746,7.521081594641904,0.9702803330705501,정형과,47.35183535260721
20,20250807_122925.jpg,20.jpg,142.08331674083217,142.29949842880043,1.0015215135240865,0.8023217216818496,6.0,0.756258818073082,0.7287200018961586,701785.9670716117,600000000.0,62.595419528776496,24.722964621503465,7699.9961500019235,55.470865262531234,20.6925232863463,10.041818695569345,102.49653180161337,89.90627394240215,0.8771640597207696,0.8714697661785153,8.0,0.7633310622734097,0.8976576797460147,29.204895944928193,285.71427551020446,62.204899002889,124.48980994721227,1663.6362880165323,266.8560585332012,23.601538237105284,98.25348704055499,0.7202873722910381,비정형,70.7951040550718
21,20250807_123106.jpg,21.jpg,137.22319171039064,130.34040039998226,0.9498423610133299,0.6592675593682443,6.0,0.8197730556327989,0.7370735587399067,100.2770297974324,24799.9752000248,140.54659096520973,16727295.712457772,13800000000.0,61.980360666633814,49.88185566697341,11.644873347199747,129.6543594081411,100.3721065689078,0.7741514209556564,0.8482058874577926,6.0,0.7254821666440929,0.9132596022122228,68.28708954605118,27799.944400111195,36.89103665076618,144.71370694515053,2268.96536076101,324.467455384121,5.726667218239457,110.28566109491204,0.9448429073255813,정형과,31.712910453948822
