,importance
BIO17,0.2462629364338134
prcp_sum,0.1727223654310675
rad_mean,0.10598363701173104
tmean_mean,0.07908294780585357
BIO19,0.07774883567073235
tmin_min,0.05411349247518549
BIO4,0.04031242958545618
BIO2,0.03279363151683545
BIO3,0.029272670802664335
BIO10,0.017165492699889835
BIO9,0.016455641478173532
BIO15,0.0155076864046988
BIO14,0.014156225514510097
BIO7,0.013318606923492921
BIO8,0.011682016226283341
