,importance
tmin_min,0.324689852374988
prcp_sum,0.11081259437434227
BIO6,0.07467401536536333
tmean_mean,0.0637165702435018
BIO9,0.05485926831982645
rad_mean,0.04648005910739444
BIO4,0.03969381565629892
BIO8,0.033025700680609504
BIO7,0.03294790359839766
BIO17,0.027405818317731773
BIO3,0.024858144116611733
BIO2,0.019077169867029835
BIO15,0.018224331055197537
BIO1,0.01678088819540305
BIO19,0.015517879061534753
