,importance
BIO3,0.2305940592929253
tmean_mean,0.20099631906974103
tmin_min,0.10679530956084289
BIO9,0.05837803501026243
prcp_sum,0.04367660081844678
BIO15,0.04145545257167566
BIO1,0.03667958952953728
BIO6,0.03375254306352849
BIO2,0.032995374844136185
BIO19,0.02745818635712513
rad_mean,0.02736544002109871
BIO4,0.02515315826942119
BIO8,0.02360707675473592
BIO11,0.01856673910881381
BIO17,0.015578066461469189
