,importance
tmin_min,0.25971247887143684
BIO4,0.13004058627633489
rad_mean,0.11025284227280056
BIO3,0.08837134970415625
tmean_mean,0.0593173513310221
prcp_sum,0.05423180372248228
BIO17,0.03762064947109846
BIO9,0.03090283054464194
BIO6,0.024808218311758577
BIO14,0.022906262977009796
BIO15,0.02056353509361171
BIO11,0.019931367572838456
BIO1,0.019703025633954013
BIO8,0.0193519517751613
BIO7,0.0173334558234707
