region,year,month,tmean,tmax,tmin,prcp,rad,humid
거창,2019,1,-0.9580645161290322,6.748387096774194,-7.596774193548387,7.5,11.37741935483871,46.406451612903226
거창,2019,2,1.1857142857142857,8.296428571428573,-4.921428571428572,28.5,13.457142857142857,46.70357142857143
거창,2019,3,6.145161290322581,13.925806451612903,-1.1548387096774193,29.0,16.88064516129032,51.670967741935485
거창,2019,4,10.646666666666667,18.029999999999998,3.796666666666667,101.0,16.926666666666666,64.21666666666667
거창,2019,5,16.787096774193547,25.309677419354838,7.887096774193548,77.0,22.677419354838708,59.97741935483871
거창,2019,6,20.209999999999997,26.85,14.383333333333333,126.0,19.953333333333333,76.61
거창,2019,7,23.0258064516129,28.26774193548387,18.76774193548387,190.5,15.151612903225805,83.74838709677418
거창,2019,8,24.138709677419353,30.19677419354839,19.56451612903226,116.0,16.98709677419355,83.30967741935484
거창,2019,9,19.942307692307693,25.496153846153845,15.603846153846153,211.0,12.061538461538463,85.96153846153847
거창,2019,10,13.525806451612903,20.98709677419355,7.800000000000001,150.0,12.748387096774193,81.64838709677419
거창,2019,11,6.796666666666667,15.066666666666666,0.21999999999999995,17.5,10.4,72.40333333333334
거창,2019,12,1.1451612903225807,8.13225806451613,-4.535483870967742,25.5,9.212903225806452,63.545161290322575
거창,2020,1,1.135483870967742,7.293548387096774,-3.6580645161290324,88.0,8.412903225806453,69.38387096774194
거창,2020,2,2.206896551724138,9.56551724137931,-3.703448275862069,49.0,12.689655172413794,65.76896551724138
거창,2020,3,6.825806451612903,14.23225806451613,-0.07096774193548387,36.0,17.35483870967742,58.274193548387096
거창,2020,4,9.28,17.186666666666667,1.6166666666666667,44.5,21.10666666666667,52.67333333333333
거창,2020,5,16.758064516129032,23.712903225806453,10.193548387096774,73.5,19.84193548387097,71.48709677419355
거창,2020,6,21.80666666666667,28.63,15.856666666666666,148.0,19.076666666666664,77.00666666666666
거창,2020,7,21.503225806451614,25.55483870967742,18.4,526.0,11.635483870967741,89.18387096774192
거창,2020,8,25.47741935483871,30.861290322580647,21.948387096774194,492.5,14.567741935483872,86.60645161290323
거창,2020,9,18.12,24.28666666666667,13.593333333333334,131.5,12.636666666666667,84.42333333333333
거창,2020,10,12.009677419354839,20.20967741935484,5.554838709677419,10.0,14.764516129032257,70.45161290322581
거창,2020,11,6.97,14.073333333333332,1.1,23.0,10.676666666666668,65.84
거창,2020,12,-0.603225806451613,6.125806451612903,-5.725806451612903,2.5,9.529032258064515,59.53225806451613
거창,2021,1,-1.196551724137931,4.868965517241379,-6.562068965517242,10.0,9.058620689655172,61.54137931034483
거창,2021,2,2.4892857142857143,10.053571428571429,-3.8178571428571426,22.5,13.714285714285714,53.30357142857143
거창,2021,3,7.948387096774193,15.135483870967741,1.367741935483871,86.0,15.738709677419354,65.35483870967742
거창,2021,4,12.116666666666667,19.35,4.873333333333333,49.0,19.456666666666667,55.64
거창,2021,5,15.529032258064515,22.425806451612903,8.758064516129032,91.5,17.23225806451613,72.04516129032258
거창,2021,6,20.776666666666664,27.12,15.513333333333334,75.0,17.35666666666667,78.14
