region,year,cultivar,months_used,tmean_mean,tmean_std,tmax_max,tmin_min,prcp_sum,prcp_mean,rad_mean,humid_mean,humid_m05,humid_m06,humid_m07,humid_m08,humid_m09,humid_m10,prcp_m05,prcp_m06,prcp_m07,prcp_m08,prcp_m09,prcp_m10,rad_m05,rad_m06,rad_m07,rad_m08,rad_m09,rad_m10,tmax_m05,tmax_m06,tmax_m07,tmax_m08,tmax_m09,tmax_m10,tmean_m05,tmean_m06,tmean_m07,tmean_m08,tmean_m09,tmean_m10,tmin_m05,tmin_m06,tmin_m07,tmin_m08,tmin_m09,tmin_m10
군위,2023,Fuji,5-10,21.21970584600173,4.671767997576157,32.36451612903225,6.909677419354839,1504.5,250.75,16.62808429118774,81.22637004078605,70.74516129032257,76.16000000000001,87.13225806451612,84.41290322580646,87.77241379310345,81.13548387096773,140.0,208.5,485.5,442.0,226.0,2.5,19.280645161290323,19.413333333333334,15.687096774193549,17.34193548387097,14.055172413793104,13.990322580645161,24.993548387096773,29.066666666666666,30.85483870967742,32.36451612903225,27.841379310344827,21.738709677419354,17.835483870967742,22.506666666666668,25.532258064516128,26.596774193548388,21.979310344827585,12.86774193548387,10.69032258064516,16.703333333333333,21.79032258064516,22.55806451612903,18.175862068965518,6.909677419354839
군위,2024,Fuji,5-10,22.276344086021506,4.721646481942842,34.50967741935484,9.873333333333333,813.0,135.5,17.28967741935484,79.16376344086022,71.05333333333333,70.88000000000001,83.8483870967742,79.88709677419355,82.52666666666667,86.78709677419356,104.5,78.5,358.0,48.5,168.5,55.0,22.81,20.533333333333335,15.03225806451613,20.470967741935485,14.736666666666666,10.154838709677419,25.19333333333333,29.766666666666666,30.925806451612903,34.50967741935484,30.720000000000002,21.480645161290322,17.30666666666667,22.85,26.603225806451615,27.748387096774195,24.34333333333333,14.806451612903226,9.873333333333333,16.11,22.93548387096774,21.89032258064516,19.8,10.325806451612904
영주,2019,Fuji,5-10,20.081523297491042,3.509315020347795,30.345161290322583,8.44516129032258,842.5,140.41666666666666,14.561827956989248,75.04621863799284,52.44193548387097,72.2,82.03225806451613,81.30000000000001,83.99666666666667,78.30645161290323,66.5,95.0,240.0,92.5,184.0,164.5,19.748387096774195,18.466666666666665,13.77741935483871,14.12258064516129,10.933333333333334,10.32258064516129,25.261290322580646,27.063333333333333,28.458064516129035,30.345161290322583,25.53666666666667,20.04516129032258,18.051612903225806,20.603333333333335,23.45483870967742,24.470967741935485,20.06,13.848387096774195,10.174193548387096,14.883333333333333,19.529032258064515,20.003225806451614,15.706666666666667,8.44516129032258
영주,2020,Fuji,5-10,19.62338709677419,4.113382644886135,29.993548387096773,6.683870967741935,1637.0,272.8333333333333,13.601433691756272,77.25935483870968,68.76129032258065,72.00333333333333,85.98064516129033,87.3258064516129,80.53666666666666,68.9483870967742,160.5,170.5,610.5,561.0,132.5,2.0,17.664516129032258,18.41,11.36774193548387,10.7,11.156666666666666,12.30967741935484,23.067741935483873,28.63,25.719354838709677,29.993548387096773,24.533333333333335,19.26774193548387,16.961290322580645,22.456666666666667,21.654838709677417,25.187096774193545,18.993333333333332,12.48709677419355,11.103225806451613,17.076666666666664,18.396774193548385,21.961290322580645,14.633333333333333,6.683870967741935
영주,2021,Fuji,5-10,19.999032258064517,4.091251950827206,31.190322580645162,8.864516129032259,1083.0,180.5,13.838530465949821,79.76897849462365,70.24193548387096,78.09666666666666,81.40322580645162,83.94193548387096,84.03333333333333,80.8967741935484,169.0,93.5,290.0,276.0,204.0,50.5,15.816129032258065,16.6,17.096774193548388,11.370967741935484,11.766666666666667,10.380645161290323,21.44516129032258,26.77,31.190322580645162,28.86774193548387,25.19333333333333,20.432258064516127,15.80967741935484,21.12,25.45483870967742,23.816129032258065,19.9,13.893548387096773,10.3,16.18,20.883870967741935,20.067741935483873,15.406666666666666,8.864516129032259
영주,2022,Fuji,5-10,20.761021505376345,4.204932465377529,30.638709677419353,7.612903225806452,935.0,155.83333333333334,14.774193548387096,74.43614695340501,52.29677419354839,74.03333333333333,82.2741935483871,85.5741935483871,77.69,74.74838709677418,5.0,157.0,223.5,379.0,98.0,72.5,21.358064516129033,15.846666666666666,15.312903225806451,11.212903225806452,13.353333333333333,11.561290322580644,25.274193548387096,27.77,30.638709677419353,28.948387096774194,26.52,19.61935483870968,18.42258064516129,22.209999999999997,25.761290322580646,24.683870967741935,20.34,13.148387096774194,11.09032258064516,17.053333333333335,22.261290322580646,21.383870967741935,15.476666666666667,7.612903225806452
영주,2023,Fuji,5-10,21.372867383512546,4.3211398219540005,31.738709677419354,7.751612903225807,1952.0,325.3333333333333,14.611953405017921,78.25942652329748,65.41612903225806,76.08,87.48064516129033,83.85483870967742,83.07333333333332,73.6516129032258,167.5,508.0,620.0,349.5,275.0,32.0,16.648387096774194,18.543333333333333,13.535483870967743,14.04516129032258,12.379999999999999,12.519354838709678,24.429032258064513,27.990000000000002,30.151612903225807,31.738709677419354,27.336666666666666,20.438709677419357,18.03548387096774,22.28666666666667,25.432258064516127,26.416129032258063,22.266666666666666,13.8,11.432258064516128,17.253333333333334,21.938709677419357,22.63225806451613,18.293333333333333,7.751612903225807
영주,2024,Fuji,5-10,22.364444444444445,4.429589905064142,33.567741935483866,10.593548387096773,1269.5,211.58333333333334,15.2634229390681,76.86451612903225,64.91,67.30666666666667,84.33870967741936,80.2709677419355,82.28333333333333,82.07741935483871,143.5,137.0,441.5,111.0,300.5,136.0,20.253333333333334,19.873333333333335,13.238709677419354,16.232258064516127,12.370000000000001,9.612903225806452,24.903333333333332,29.586666666666666,30.451612903225808,33.567741935483866,29.303333333333335,20.77741935483871,17.93,23.37,26.270967741935483,27.65806451612903,23.78666666666667,15.170967741935485,11.073333333333332,17.376666666666665,22.983870967741936,23.148387096774194,19.57,10.593548387096773
장수,2019,Fuji,5-10,18.675232974910394,3.593990769637538,28.270967741935483,7.438709677419355,977.0,162.83333333333334,16.476200716845877,78.5390770609319,57.07096774193548,79.74333333333334,83.89032258064516,83.65483870967742,86.05,80.825,75.5,148.5,281.5,92.5,243.0,136.0,22.76451612903226,18.883333333333333,15.658064516129032,16.419354838709676,12.79,12.341935483870968,23.19677419354839,24.83,26.09032258064516,28.270967741935483,24.636666666666667,19.606451612903225,15.990322580645161,18.933333333333334,22.05483870967742,23.258064516129032,19.259999999999998,12.55483870967742,8.361290322580645,13.94,18.758064516129032,19.287096774193547,14.97,7.438709677419355
장수,2020,Fuji,5-10,18.29836917562724,4.293176012519141,28.5,4.961290322580646,1858.5,309.75,15.393512544802867,81.11853046594982,72.80322580645162,79.53999999999999,89.12258064516129,86.17096774193548,85.60666666666665,73.46774193548387,86.5,228.0,603.0,679.5,252.0,9.5,20.299999999999997,18.87,12.387096774193548,14.606451612903227,12.523333333333333,13.674193548387096,21.593548387096774,26.12333333333333,24.338709677419356,28.5,22.793333333333333,18.393548387096775,15.819354838709677,20.68,20.641935483870967,24.47741935483871,17.216666666666665,10.95483870967742,10.274193548387096,15.976666666666667,17.76774193548387,21.532258064516128,13.31,4.961290322580646
