region,year,month,tmean,tmax,tmin,prcp,rad,humid
군위,2019,1,-1.9870967741935484,5.377419354838709,-8.59032258064516,5.0,9.98709677419355,61.28387096774193
군위,2019,2,0.8464285714285714,7.935714285714285,-5.442857142857143,25.0,12.299999999999999,62.125
군위,2019,3,6.516129032258065,14.406451612903227,-0.8161290322580644,23.5,15.483870967741936,61.251612903225805
군위,2019,4,11.193333333333333,18.473333333333336,3.8966666666666665,107.5,16.63,64.47
군위,2019,5,17.809677419354838,26.47741935483871,8.970967741935485,53.5,22.51290322580645,63.02903225806452
군위,2019,6,21.146666666666665,28.096666666666668,15.043333333333333,127.5,19.30666666666667,75.16000000000001
군위,2019,7,24.396774193548385,29.61935483870968,20.019354838709678,132.5,15.383870967741935,82.55483870967741
군위,2019,8,25.41290322580645,31.448387096774194,20.780645161290323,141.5,17.174193548387095,83.06129032258065
군위,2019,9,20.84333333333333,26.566666666666666,16.863333333333333,170.0,12.379999999999999,87.13000000000001
군위,2019,10,13.938709677419356,21.30322580645161,8.577419354838709,175.5,12.141935483870967,83.49677419354839
군위,2019,11,6.413333333333333,14.913333333333332,0.23,18.0,9.473333333333333,78.14
군위,2019,12,0.0483870967741936,7.396774193548388,-5.629032258064516,22.5,8.44516129032258,72.20967741935483
군위,2020,1,1.0064516129032257,6.861290322580645,-3.7612903225806456,55.0,7.72258064516129,73.49032258064516
군위,2020,2,2.0448275862068965,9.03793103448276,-3.9379310344827587,59.0,12.03793103448276,68.92068965517241
군위,2020,3,7.141935483870968,14.76774193548387,-0.535483870967742,29.0,17.358064516129033,61.49677419354839
군위,2020,4,10.33,18.290000000000003,1.8933333333333333,33.0,21.173333333333336,54.32333333333334
군위,2020,5,17.700000000000003,24.725806451612904,10.85483870967742,78.0,19.81935483870968,71.40322580645162
군위,2020,6,22.9,29.603333333333335,16.596666666666668,183.5,19.17,74.54666666666667
군위,2020,7,22.432258064516127,26.929032258064513,19.051612903225806,448.5,12.709677419354838,87.73548387096774
군위,2020,8,26.851612903225806,31.98709677419355,23.096774193548388,394.0,15.264516129032257,84.8225806451613
군위,2020,9,19.243333333333332,25.686666666666667,14.72,145.0,13.146666666666667,84.47666666666667
군위,2020,10,11.916129032258064,20.60967741935484,5.151612903225806,4.5,13.974193548387097,76.90322580645162
군위,2020,11,6.33,14.316666666666666,-0.036666666666666625,47.0,9.906666666666666,71.72
군위,2020,12,-1.925806451612903,5.706451612903226,-8.080645161290322,1.0,9.30967741935484,64.25806451612904
군위,2021,1,-2.935483870967742,4.541935483870968,-9.670967741935485,7.5,9.754838709677419,64.15161290322581
군위,2021,2,1.75,9.882142857142856,-5.285714285714286,16.5,13.228571428571428,59.43928571428571
군위,2021,3,7.77741935483871,14.993548387096775,0.9838709677419355,103.0,14.593548387096773,70.48387096774194
군위,2021,4,12.42,20.15666666666667,4.713333333333334,68.0,19.446666666666665,60.59
군위,2021,5,16.15483870967742,22.816129032258065,9.535483870967743,141.0,17.458064516129035,74.54838709677419
군위,2021,6,21.83,28.113333333333333,16.52,83.5,18.226666666666667,78.26
