region,year,cultivar,months_used,tmean_mean,tmean_std,tmax_max,tmin_min,prcp_sum,prcp_mean,rad_mean,humid_mean,humid_m05,humid_m06,humid_m07,humid_m08,prcp_m05,prcp_m06,prcp_m07,prcp_m08,rad_m05,rad_m06,rad_m07,rad_m08,tmax_m05,tmax_m06,tmax_m07,tmax_m08,tmean_m05,tmean_m06,tmean_m07,tmean_m08,tmin_m05,tmin_m06,tmin_m07,tmin_m08
군위,2023,Hongro,5-8,23.11779569892473,3.3988680771234,32.36451612903225,10.69032258064516,1276.0,319.0,17.930752688172042,79.61258064516129,70.74516129032257,76.16000000000001,87.13225806451612,84.41290322580646,140.0,208.5,485.5,442.0,19.280645161290323,19.413333333333334,15.687096774193549,17.34193548387097,24.993548387096773,29.066666666666666,30.85483870967742,32.36451612903225,17.835483870967742,22.506666666666668,25.532258064516128,26.596774193548388,10.69032258064516,16.703333333333333,21.79032258064516,22.55806451612903
군위,2024,Hongro,5-8,23.62706989247312,4.074128559500485,34.50967741935484,9.873333333333333,589.5,147.375,19.711639784946236,76.41720430107527,71.05333333333333,70.88000000000001,83.8483870967742,79.88709677419355,104.5,78.5,358.0,48.5,22.81,20.533333333333335,15.03225806451613,20.470967741935485,25.19333333333333,29.766666666666666,30.925806451612903,34.50967741935484,17.30666666666667,22.85,26.603225806451615,27.748387096774195,9.873333333333333,16.11,22.93548387096774,21.89032258064516
영주,2019,Hongro,5-8,21.645188172043014,2.5129221020347816,30.345161290322583,10.174193548387096,494.0,123.5,16.528763440860214,71.99354838709678,52.44193548387097,72.2,82.03225806451613,81.30000000000001,66.5,95.0,240.0,92.5,19.748387096774195,18.466666666666665,13.77741935483871,14.12258064516129,25.261290322580646,27.063333333333333,28.458064516129035,30.345161290322583,18.051612903225806,20.603333333333335,23.45483870967742,24.470967741935485,10.174193548387096,14.883333333333333,19.529032258064515,20.003225806451614
영주,2020,Hongro,5-8,21.564973118279568,2.96297436163808,29.993548387096773,11.103225806451613,1502.5,375.625,14.535564516129032,78.5177688172043,68.76129032258065,72.00333333333333,85.98064516129033,87.3258064516129,160.5,170.5,610.5,561.0,17.664516129032258,18.41,11.36774193548387,10.7,23.067741935483873,28.63,25.719354838709677,29.993548387096773,16.961290322580645,22.456666666666667,21.654838709677417,25.187096774193545,11.103225806451613,17.076666666666664,18.396774193548385,21.961290322580645
영주,2021,Hongro,5-8,21.55016129032258,3.65784463055925,31.190322580645162,10.3,828.5,207.125,15.220967741935485,78.42094086021505,70.24193548387096,78.09666666666666,81.40322580645162,83.94193548387096,169.0,93.5,290.0,276.0,15.816129032258065,16.6,17.096774193548388,11.370967741935484,21.44516129032258,26.77,31.190322580645162,28.86774193548387,15.80967741935484,21.12,25.45483870967742,23.816129032258065,10.3,16.18,20.883870967741935,20.067741935483873
영주,2022,Hongro,5-8,22.769435483870968,2.820654784231955,30.638709677419353,11.09032258064516,764.5,191.125,15.932634408602151,73.54462365591398,52.29677419354839,74.03333333333333,82.2741935483871,85.5741935483871,5.0,157.0,223.5,379.0,21.358064516129033,15.846666666666666,15.312903225806451,11.212903225806452,25.274193548387096,27.77,30.638709677419353,28.948387096774194,18.42258064516129,22.209999999999997,25.761290322580646,24.683870967741935,11.09032258064516,17.053333333333335,22.261290322580646,21.383870967741935
영주,2023,Hongro,5-8,23.04263440860215,3.268555144330542,31.738709677419354,11.432258064516128,1645.0,411.25,15.693091397849463,78.20790322580645,65.41612903225806,76.08,87.48064516129033,83.85483870967742,167.5,508.0,620.0,349.5,16.648387096774194,18.543333333333333,13.535483870967743,14.04516129032258,24.429032258064513,27.990000000000002,30.151612903225807,31.738709677419354,18.03548387096774,22.28666666666667,25.432258064516127,26.416129032258063,11.432258064516128,17.253333333333334,21.938709677419357,22.63225806451613
영주,2024,Hongro,5-8,23.807258064516127,3.7293408490743243,33.567741935483866,11.073333333333332,833.0,208.25,17.399408602150537,74.20658602150539,64.91,67.30666666666667,84.33870967741936,80.2709677419355,143.5,137.0,441.5,111.0,20.253333333333334,19.873333333333335,13.238709677419354,16.232258064516127,24.903333333333332,29.586666666666666,30.451612903225808,33.567741935483866,17.93,23.37,26.270967741935483,27.65806451612903,11.073333333333332,17.376666666666665,22.983870967741936,23.148387096774194
장수,2019,Hongro,5-8,20.059139784946236,2.830134592314285,28.270967741935483,8.361290322580645,598.0,149.5,18.431317204301074,76.08986559139785,57.07096774193548,79.74333333333334,83.89032258064516,83.65483870967742,75.5,148.5,281.5,92.5,22.76451612903226,18.883333333333333,15.658064516129032,16.419354838709676,23.19677419354839,24.83,26.09032258064516,28.270967741935483,15.990322580645161,18.933333333333334,22.05483870967742,23.258064516129032,8.361290322580645,13.94,18.758064516129032,19.287096774193547
장수,2020,Hongro,5-8,20.40467741935484,3.0718277927894313,28.5,10.274193548387096,1597.0,399.25,16.540887096774192,81.9091935483871,72.80322580645162,79.53999999999999,89.12258064516129,86.17096774193548,86.5,228.0,603.0,679.5,20.299999999999997,18.87,12.387096774193548,14.606451612903227,21.593548387096774,26.12333333333333,24.338709677419356,28.5,15.819354838709677,20.68,20.641935483870967,24.47741935483871,10.274193548387096,15.976666666666667,17.76774193548387,21.532258064516128
